ETF_Ticker,ETF_Nombre,Tipo_Activo,Zona_Geografica,Moneda,Clasificacion_L1,Variables_Asignadas,Num_Variables
ISAG.L,iShares Agribusiness UCITS ETF,Renta Variable,Global,USD,RV TÁCTICO,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
EFA,iShares MSCI EAFE ETF,Renta Variable,Global,USD,RV - Internacional,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
XLV,Health Care Select Sector SPDR Fund,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
NEAR,iShares Short Maturity Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
SMIEX.SW,iShares SLI UCITS ETF (DE),Renta Variable,Europe,CHF,RV Europa,"EU_CORE_HICP, EU_ECB_DEPOSIT_RATE, EU_GDP, EU_HICP, EU_PMI_MANUFACTURING, EU_PMI_SERVICES, EU_STOXX600, EU_UNEMPLOYMENT_RATE, EU_VSTOXX, EU_YIELD_10Y, FX_USDCHF, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",16
IVE,iShares S&P 500 Value ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
PFXF,VanEck Preferred Securities ex Financials ETF,Renta Fija,USA,USD,RF PREFERENTES ,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_FINANCIAL_CONDITIONS, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX",7
VO,Vanguard Mid-Cap ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
ANGL,VanEck Fallen Angel High Yield Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
EMIM.L,iShares Core MSCI EM IMI UCITS ETF,Renta Variable,Emerging Markets,USD,RV - Emergente,"CN_GDP, CN_PMI_MANUFACTURING, EM_CREDIT_SPREAD, EM_MSCI_EM, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",10
